TransactionID,isFraud
3303078,0.04816248
3103888,0.18319505
3397211,0.113422506
3238027,0.07924349
3178265,0.052090306
3004694,0.25084248
3418807,0.10521951
3355899,0.041818567
3377704,0.071874835
3127623,0.11311286
3312130,0.1021992
3525499,0.44119415
3362228,0.18365356
3150935,0.19659731
3394237,0.13163547
3250918,0.39139414
3536489,0.14636728
3520868,0.20790046
3162659,0.22951625
3089772,0.36764237
3275471,0.06793417
3325051,0.11202191
3240204,0.37130398
3451505,0.07701561
3205671,0.32902637
3439486,0.014657476
3367511,0.6683814
3276052,0.02394232
3562354,0.30988717
3467284,0.10896798
3532587,0.038252987
3173426,0.044719957
3302994,0.057263523
3129951,0.5574171
3180595,0.06840248
3221469,0.43363795
3214320,0.088860266
3470055,0.68555033
3142348,0.16650905
3362447,0.490794
3408949,0.299515
3364625,0.22020113
3042201,0.38956314
3030349,0.36256734
3273282,0.38473353
3573326,0.050545625
3071524,0.17071143
3267973,0.131666
3096337,0.074160606
3372098,0.09569181
3223034,0.29337955
3374528,0.2528684
3184954,0.119449556
3289779,0.103418194
3532367,0.2186065
3358591,0.1348371
3316300,0.33602777
3429563,0.1308893
3059645,0.98292357
3478860,0.60389096
3444394,0.15398085
3494312,0.23540896
3140357,0.98535776
3084649,0.046111863
3223049,0.46242225
3147984,0.2714448
3327239,0.5094261
2994463,0.1110182
3429138,0.11237345
3267630,0.16507481
3274467,0.15407333
3458335,0.14010303
3266411,0.25443587
3297327,0.03519622
3362925,0.06757071
3570774,0.16551587
3303548,0.049122535
3273972,0.19643803
3094012,0.09680735
3156733,0.051765922
3200807,0.25410122
3136135,0.18032394
2998097,0.042463794
3348565,0.628351
3167562,0.10591301
3087000,0.23819599
3126002,0.29446426
3147076,0.37050083
3130565,0.8421883
3337925,0.055268634
3200294,0.068158485
3094104,0.075744554
3172673,0.6814251
3302861,0.16990556
3046900,0.29419753
3023448,0.51454186
3453575,0.1889023
3369160,0.12706016
3193406,0.3625838
3497612,0.21552645
3265408,0.080994815
3339866,0.082814395
3197979,0.40482754
3427661,0.17251284
3267863,0.16551808
3436226,0.42575836
3286661,0.20133866
3359173,0.20358066
3468994,0.4071809
3369585,0.0461922
3096495,0.1587728
3383141,0.45931336
3125298,0.069587916
3383978,0.10265595
3101429,0.06656307
3488711,0.18387595
3325916,0.1349143
3409427,0.14351739
3417762,0.05872429
3475184,0.32312718
3409509,0.29669285
3383525,0.036605082
3496929,0.1167781
3562534,0.20133616
3457920,0.089108065
3329122,0.03373901
3452059,0.26825523
3289886,0.09097185
3012887,0.5252374
3555922,0.29794058
3207307,0.07918746
3572529,0.20693396
3044258,0.030246299
3347803,0.027177999
3479174,0.050430167
3348460,0.1265893
3384378,0.058651574
3096232,0.097257264
3099988,0.0447125
3266745,0.08667558
2992686,0.050444048
3111132,0.1065435
3385717,0.5532657
3459723,0.05258762
2996828,0.082034856
3355183,0.072681956
3063776,0.1099753
3103412,0.5447085
3428617,0.12885965
3012060,0.15905021
2995282,0.21211511
3230820,0.18526328
3287225,0.6555888
3118373,0.030254861
3176860,0.112326145
3388769,0.9916289
3360702,0.3301741
3327025,0.10887727
3135301,0.24440758
3186264,0.32820717
3410614,0.11838052
3533463,0.27697513
3325961,0.11482644
3096945,0.041885722
3199525,0.06983263
3411280,0.31523553
3141931,0.2387874
3048437,0.119223416
3330112,0.99788886
3200599,0.14961667
3391281,0.01903232
3059344,0.05333902
3508570,0.03955779
3458367,0.1825048
2998881,0.06515484
3325264,0.2697069
3456909,0.994989
3089819,0.055109322
3367757,0.06737494
3352619,0.44860286
3393730,0.068967104
3522483,0.20944619
3150396,0.27094048
3288059,0.16694073
3259256,0.31807408
3329414,0.30151507
3550158,0.024669398
3416800,0.10574484
3160155,0.104095094
3490640,0.056334414
3502248,0.05874097
3322520,0.20740488
3051982,0.10506162
3377904,0.1802499
3424723,0.16631407
3109412,0.03815188
3428295,0.24235158
3136517,0.13419089
3528441,0.05195894
3048103,0.22085907
3362692,0.2171536
3070837,0.07679399
3166513,0.184272
3152234,0.52892727
3104293,0.05264311
3528709,0.08330294
3010934,0.34367755
3355448,0.981533
3059052,0.056010712
3089626,0.07775526
3329603,0.17669682
3207620,0.099273354
3024283,0.15955308
3198806,0.662249
3289318,0.09854497
3047350,0.05386355
3243914,0.5766485
3491556,0.38182944
3192824,0.24156618
3221343,0.16114622
3493762,0.08207483
3015445,0.18512647
3155273,0.99776435
3447072,0.18267442
3223027,0.08271017
3417687,0.1653539
3448757,0.061031282
3424956,0.04995677
3169239,0.5895366
3427965,0.16882847
3409503,0.04242175
3271895,0.21116157
3118182,0.3893847
3545312,0.18727031
2999056,0.053049054
3476518,0.16926727
3097011,0.08720519
3013516,0.27169546
3530962,0.13258936
3555380,0.12688872
3136865,0.21862933
3062698,0.19145834
3355124,0.46615705
3450324,0.5818087
3081626,0.06650264
3126345,0.05486863
3352304,0.066661455
3462966,0.10319535
3393324,0.2817132
3199174,0.14860824
3382235,0.22257037
3240632,0.025260571
3433673,0.1799166
3353721,0.249406
3389306,0.09913123
3535134,0.17429513
3405939,0.045737665
3412482,0.025271362
3050262,0.15197435
3004558,0.043855622
3288206,0.06460888
3293926,0.47669664
3461168,0.65000737
3566818,0.26012242
3415920,0.11672329
3199186,0.21031511
3326390,0.099846534
3363963,0.17653996
3445331,0.022790994
3063601,0.07855553
3467315,0.16151352
3351542,0.71815205
3532625,0.59226
3133387,0.29046258
3325315,0.044024467
3394737,0.078411974
3402061,0.16529447
3052642,0.57761484
3246707,0.119262904
3231024,0.54485047
3432905,0.44520968
3099515,0.056485992
3168229,0.14255184
3387015,0.24017172
3513101,0.19692914
3202142,0.1025943
3228045,0.11320612
3329312,0.038656153
3072093,0.025610391
3057055,0.049334213
3138104,0.15881595
3574905,0.10766259
3035934,0.058663033
3010540,0.03867155
3329744,0.10672171
3012721,0.047346767
3276781,0.1603879
3031236,0.09111852
3246738,0.11494407
3510747,0.11629611
3221075,0.15990612
3034178,0.27164423
3355615,0.8036558
3512078,0.04947338
3467880,0.0497428
3558073,0.09679364
3236662,0.47787067
3459411,0.6321175
3044252,0.013910964
3488956,0.43994614
2989942,0.095041424
3187425,0.74126005
3026915,0.55618435
3543712,0.14898093
3541387,0.05260871
3472299,0.015158551
3231195,0.9493608
3232308,0.059058342
3418108,0.19580474
3272143,0.27731168
3155502,0.08447098
3067042,0.24179858
3011734,0.89715564
3129747,0.115294434
3227512,0.155369
3205487,0.2560298
3297299,0.38478905
3081730,0.25191683
3061128,0.19312625
3199731,0.12291475
3561598,0.2795964
3211511,0.024244893
3565896,0.03481998
3055689,0.090654835
3283494,0.4948574
3112796,0.113481835
3017534,0.058244877
3223176,0.038574114
3051281,0.07722521
3318416,0.14568885
3258322,0.7044513
3469805,0.71162033
3239688,0.32174504
3015939,0.09907516
3055298,0.25844917
3407235,0.07136159
3030843,0.106851995
3574286,0.16087037
3273461,0.19493164
3180411,0.41118068
3467972,0.17765644
3093253,0.043526016
